Date,oil Price,Usd,Kospi,gold,open,high,low,close,volume,value
2018-09-20,77.13,1118.95,2314.41,1208.8,7250000,7364000,7190000,7311000,4570.1422204,33174326632
2018-09-21,77.08,1117.13,2332.04,1212.1,7311000,7596000,7287000,7537000,9545.7816228,71329466429
2018-09-22,,,,,7537000,7636000,7425000,7540000,4866.2375595,36611321982
2018-09-23,,,,,7539000,7600000,7450000,7500000,4216.9250927,31738538695
2018-09-24,78.81,1115.3,,1204,7500000,7547000,7407000,7430000,3046.3325068,22738698842
2018-09-25,80.44,1120.12,,1203.1,7428000,7439000,7241000,7299000,4725.1473171,34503898777
2018-09-26,81.58,1117.06,,1205.5,7299000,7392000,7259000,7300000,3921.9812069,28697315885
2018-09-27,80.88,1115.51,2331.7,1198.9,7300000,7490000,7261000,7447000,4027.1010771,29562427627
2018-09-28,81.48,1113.99,2356.13,1186.8,7447000,7551000,7339000,7408000,5408.479536,40311237729
2018-09-29,,,,,7408000,7410000,7280000,7360000,3246.0059468,23817952485
2018-09-30,,,,,7360000,7418000,7327000,7393000,3162.0759821,23299373206
2018-10-01,81.58,1110,2349.64,1196.1,7394000,7449000,7280000,7375000,4331.4918137,31921258985
2018-10-02,83.28,1112.93,2338.28,1192.7,7374000,7414000,7337000,7369000,3525.1603144,26011699054
2018-10-03,83.64,1119.43,,1207,7369000,7393000,7299000,7386000,3057.9600197,22451100876
2018-10-04,84.09,1125.5,2311.06,1201.4,7385000,7499000,7362000,7481000,3366.9757101,25090339901
2018-10-05,83.24,1133.53,2269.94,1203.7,7481000,7545000,7410000,7503000,3891.9533542,29024391002
